USS [kB],Is TCOM Master?,Number of RLH instances,Number of cells,Number of DSPs,Total number of DCH users,Total number of HSPA users
58208,1,1,24,24,499,281
58140,1,1,24,24,533,254
44480,1,3,18,18,1023,0
44284,1,3,18,18,1026,0
42552,1,3,18,18,718,0
43592,1,3,18,18,953,0
45160,1,3,18,18,1151,0
45980,1,3,18,18,1038,0
45456,1,3,18,18,1140,0
45584,1,3,18,18,1083,0
45060,1,3,18,18,1058,0
45168,1,3,18,18,1125,0
44844,1,3,18,18,1064,0
45204,1,3,18,18,1061,0
45188,1,3,18,18,1077,0
45356,1,3,18,18,1063,0
45320,1,3,18,18,1069,0
45124,1,3,18,18,1069,0
44540,1,3,18,18,1074,0
44896,1,3,18,18,1086,0
26584,0,3,18,18,1039,0
26144,0,3,18,18,1022,0
25368,0,3,18,18,713,0
25808,0,3,18,18,936,0
26724,0,3,18,18,1083,0
27524,0,3,18,18,1084,0
27052,0,3,18,18,1082,0
27084,0,3,18,18,1074,0
27436,0,3,18,18,1092,0
26948,0,3,18,18,1088,0
26848,0,3,18,18,1082,0
26636,0,3,18,18,1079,0
26872,0,3,18,18,1080,0
26796,0,3,18,18,1090,0
26664,0,3,18,18,1082,0
26392,0,3,18,18,1076,0
26984,0,3,18,18,1051,0
26872,0,3,18,18,1081,0
26596,0,3,18,18,1024,0
26360,0,3,18,18,1021,0
24680,0,3,18,18,714,0
25696,0,3,18,18,966,0
26956,0,3,18,18,1086,0
27076,0,3,18,18,1081,0
27108,0,3,18,18,1053,0
27004,0,3,18,18,1053,0
26844,0,3,18,18,1076,0
27600,0,3,18,18,1075,0
26544,0,3,18,18,1064,0
26544,0,3,18,18,1074,0
27240,0,3,18,18,1084,0
26828,0,3,18,18,1070,0
26852,0,3,18,18,1080,0
26988,0,3,18,18,1081,0
27052,0,3,18,18,1051,0
26860,0,3,18,18,1081,0
