SYSLOG_096_merged.LOG    |17.12 14:20:32.179000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.968206Z> 59E INF/TCOM/CCHH, API_TCOM_RNC_MSG from 0x10110152, size: 140 timeStamp: 4295034404864
SYSLOG_096_merged.LOG    |17.12 14:20:32.179000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.968272Z> 59E INF/TCOM/NC, 12: 000C2244096F000003001900020E5F002B0001000024405D200200000140006FA08037C003C845FFFE7000C4004140010280000100A8500001016850900034000300664005603EA80000006840091B803500010A0C0512026840020B8013A6400E2003008960000C8000005000002300030000029A
SYSLOG_096_merged.LOG    |17.12 14:20:32.179000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.968584Z> 59E INF/TCOM/CCHH, TC_CCHH_CTCH_SETUP_REQ_MSG from 0x140D016D, size: 2764 cellId: 3679 channelToBeConfChoice: 1 (ECommonPhysicalChannelToBeConfigChoice_PRACH) configGenerationId: 0 transactionId: 17417
SYSLOG_096_merged.LOG    |17.12 14:20:32.179000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.968636Z> 59E DBG/TCOM/CCHH, PRACH: [ commonPhysicalChannelId: 2 rachSubchannelNrs: 1 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.179000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.968675Z> 59E DBG/TCOM/CCHH, PRACH: [ tfcs.ctfc: 0 1  ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.179000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.968787Z> 59E DBG/TCOM/CCHH, RACH: [ commonTransportChannelId: 1 bindingId: 1051197440 transportLayerAddress: 18.5.12.10 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.179000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.968823Z> 59E DBG/TCOM/CCHH, AICH: [ aichPower: -3 commonPhysicalChannelId: 3 l1AichId: 0 ]
SYSLOG_096_merged.LOG    |17.12 14:20:32.189000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.969490Z> 59E INF/TCOM/CCHH, TC_LRM_RACH_SETUP_REQ_MSG to 0x140D015B, size: 1652 cellId: 3679 preambleSignatures: 15 prachId: 2 rachId: 1 aichId: 3 aichPower: -3 l1AichId: 0
SYSLOG_096_merged.LOG    |17.12 14:20:32.189000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.969628Z> 784 INF/TCOM/LRM/CCH, 0x6868 TC_LRM_RACH_SETUP_REQ_MSG from 0x140d016d, cellId: 3679
SYSLOG_096_merged.LOG    |17.12 14:20:32.189000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.970569Z> 782 INF/TCOM/LRM/Rep, 0x68C4 TC_LRMSEL_RACH_SETUP_RESP_MSG {#1519} (0,0) LCG2:30693,31600,48,1,6/True,180/180,0,0, DcdWithLastHsupaCf: 0x1280
SYSLOG_096_merged.LOG    |17.12 14:20:32.189000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.970639Z> 782 INF/TCOM/LRM/Rep, |0x10,0x14-(30:0/0[15,0,48,0,0,0,0])(40:48/48[8,0,0,0,0,0,0])(50:48/48[8,0,0,0,0,0,0])(60:48/48[8,0,0,0,0,0,0])(70:48/48[8,0,0,0,0,0,0])(80:0/0[7,480,48,0,0,0,0])(90:0/0[5,0,48,0,0,0,0])|
SYSLOG_096_merged.LOG    |17.12 14:20:32.189000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.970706Z> 782 INF/TCOM/LRM/Rep, |0x10,0x12-(30:0/0[5,0,48,0,0,0,0])(40:48/48[9,0,0,0,0,0,0])(50:0/0[14,0,48,0,0,0,0])(60:48/48[8,0,0,0,0,0,0])(70:48/48[8,0,0,0,0,0,0])(80:12/12[10,0,36,3,0,0,0])(90:0/0[15,0,48,0,0,0,0])|
SYSLOG_096_merged.LOG    |17.12 14:20:32.189000 FSP-140D-1-TCOMexe <2015-12-17T06:28:29.970915Z> 59E INF/TCOM/CCHH, TC_LRM_RACH_SETUP_ACK_RESP_MSG from 0x140D015E, size: 280 cellId: 3679 prachId: 2 lcgId: 2
